step,preco,acao,saldo,lucro_acumulado
198,2.0938,CLOSE,9931.051426138978,-68.94857386102194
199,2.0902,BUY,9921.114998604971,-78.88500139502867
200,2.0895,CLOSE,10007.794821787815,7.794821787814726
201,2.0977,CLOSE,10002.831782769003,2.8317827690025297
202,2.08,SELL,9997.830366877619,-2.1696331223811285
203,2.0618,SELL,10028.862937041327,28.862937041327314
204,2.0757,SELL,9991.426820653362,-8.573179346638426
205,2.0801,SELL,9971.723601501799,-28.27639849820116
206,2.0856,BUY,9987.832536510741,-12.167463489258807
208,2.0963,BUY,10035.565062646836,35.56506264683594
209,2.094,CLOSE,9926.81363712027,-73.18636287972913
210,2.0682,CLOSE,9921.817222644777,-78.18277735522315
211,2.0784,BUY,9916.856314033454,-83.1436859665464
212,2.0631,HOLD,9966.670517454882,-33.32948254511757
213,2.0479,SELL,9952.823711190531,-47.17628880946904
214,2.0626,SELL,9910.865307237826,-89.13469276217438
215,2.0594,CLOSE,9945.50538491971,-54.494615080289805
216,2.0631,CLOSE,9940.526483613461,-59.473516386538904
217,2.0649,CLOSE,9940.526483613461,-59.473516386538904
218,2.051,CLOSE,9940.526483613461,-59.473516386538904
220,2.0298,SELL,9935.556220371654,-64.44377962834551
221,2.0418,SELL,9895.954477052122,-104.04552294787754
222,2.0207,SELL,9832.885033987688,-167.11496601231192
223,2.0359,CLOSE,9777.638157504884,-222.36184249511643
224,2.0441,CLOSE,9772.667894263077,-227.33210573692304
228,2.0352,CLOSE,9772.667894263077,-227.33210573692304
229,2.033,CLOSE,9772.667894263077,-227.33210573692304
231,2.0215,CLOSE,9772.667894263077,-227.33210573692304
232,2.0235,SELL,9767.781560315945,-232.21843968405483
233,2.0307,SELL,9840.26644434844,-159.7335556515609
234,2.0244,SELL,9753.568837956635,-246.43116204336548
235,2.032,SELL,9659.764870385174,-340.2351296148263
236,2.036,CLOSE,9637.024514610275,-362.9754853897248
237,2.0307,CLOSE,9632.138180663143,-367.86181933685657
239,2.0404,SELL,9627.322111572812,-372.677888427188
240,2.0183,SELL,9522.42993479528,-477.57006520471987
241,2.0213,SELL,9412.937223948558,-587.0627760514417
242,2.0316,SELL,9563.37468801107,-436.62531198892975
243,2.0418,SELL,9540.37201766512,-459.62798233487956
244,2.041,SELL,9597.878693529998,-402.1213064700023
245,2.0496,CLOSE,9515.529133691496,-484.4708663085039
246,2.0425,CLOSE,9510.713064601165,-489.28693539883534
247,2.0535,CLOSE,9510.713064601165,-489.28693539883534
248,2.0203,SELL,9505.957708068863,-494.0422919311368
249,2.0166,BUY,9622.058091887857,-377.9419081121432
252,2.0413,HOLD,9512.397336621229,-487.60266337877147
253,2.0542,CLOSE,9464.05708532002,-535.9429146799794
254,2.0655,SELL,9454.514027731417,-545.4859722685833
255,2.0664,SELL,9463.38012919318,-536.6198708068205
256,2.0756,SELL,9511.700382159795,-488.2996178402045
257,2.0804,SELL,9459.833688608474,-540.1663113915256
258,2.0473,SELL,9477.122586458916,-522.877413541084
259,2.0505,CLOSE,9417.276401592007,-582.7235984079925
260,2.0537,CLOSE,9412.54677976723,-587.45322023277
261,2.0456,CLOSE,9412.54677976723,-587.45322023277
262,2.0383,SELL,9407.840506377346,-592.1594936226538
263,2.0628,SELL,9421.329270715954,-578.6707292840456
264,2.0475,SELL,9355.190813313744,-644.809186686256
268,2.0798,HOLD,9403.924413504847,-596.0755864951534
269,2.0713,SELL,9387.389799154294,-612.6102008457055
270,2.0937,SELL,9344.312777556801,-655.6872224431991
271,2.1165,SELL,9346.923506138466,-653.0764938615339
272,2.1403,CLOSE,9390.435649166238,-609.5643508337616
274,2.1126,BUY,9381.036511088467,-618.9634889115332
275,2.1001,BUY,9245.669533327386,-754.3304666726144
276,2.118,CLOSE,9219.11018958945,-780.8898104105501
277,2.1347,BUY,9209.810116239112,-790.1898837608878
278,2.1306,CLOSE,9493.917783412791,-506.0822165872087
279,2.1796,BUY,9484.565919462966,-515.4340805370339
280,2.1508,SELL,9551.055686937598,-448.9443130624022
281,2.122,SELL,9572.440225053384,-427.559774946616
282,2.1207,SELL,9478.173689685838,-521.8263103141617
283,2.1263,SELL,9367.323226799932,-632.676773200068
284,2.1155,CLOSE,9332.409695182323,-667.590304817677
285,2.1338,CLOSE,9327.631778380453,-672.3682216195466
286,2.1318,CLOSE,9327.631778380453,-672.3682216195466
288,2.1326,SELL,9322.967962491262,-677.0320375087376
289,2.1287,SELL,9282.731287388342,-717.268712611658
291,2.1352,BUY,9316.639844500662,-683.3601554993384
292,2.1478,SELL,9361.211224322296,-638.7887756777036
293,2.1632,CLOSE,9284.266406848383,-715.7335931516172
294,2.1601,CLOSE,9279.583459762678,-720.4165402373219
295,2.1753,CLOSE,9279.583459762678,-720.4165402373219
296,2.1888,CLOSE,9279.583459762678,-720.4165402373219
