open,high,low,volume,CVD,btc_close,btc_volume,mom_3,mom_5,mom_10,mom_20,vol_ratio,pos_canal,trend_str,vol_surge,btc_mom,rel_str,action,reward,pnl_pct,timestamp
0.5762,0.5768,0.5745,66717.0,-8214848.0,86566.3,259.695,0.0013942140118508028,-0.0012167564748827298,0.001045296167247356,0.01879432624113475,0.7312907706583716,0.5869565217391295,0.0035099566592534715,0.06366308195845301,0.0033717606641059383,-0.004588517138988668,1,0.028090892825192428,0.028090892825192428,1764638171.202401
0.5742,0.5744,0.5742,9204.0,-7944379.0,86572.8,8.676,0.0006969855375502654,-0.003470414714558445,0.0008713837574068073,0.00209387541441286,0.6424980275516703,0.2547169811320775,0.0021890366003177535,0.010663075544252458,-0.0019080383175598126,-0.0015623763969986326,1,-0.0005221023320570257,-0.0005221023320570257,1764641710.313748
0.5756,0.5756,0.5752,14540.0,-8067858.0,86614.5,15.698,0.0027884280237018277,0.0022644138651801704,0.00017382235355456466,-0.0013884068031934094,0.4555942313786612,0.35849056603773644,0.0023789757130535092,0.018169746671993458,-0.001055290291329336,0.0033197041565095065,2,-0.0019153752394218872,-0.0019153752394218872,1764642611.870289
0.5694,0.5694,0.5692,18320.0,-8950449.0,86296.1,6.079,-0.007151578580150031,-0.010947002606429113,-0.012319972236682242,-0.00732472968259501,1.0455726529242075,0.02985074626866154,-0.000339306831975665,0.025529711909324928,-0.003809475435232579,-0.007137527171196534,1,-0.010775112964893958,-0.010775112964893958,1764646206.9571
0.5761,0.5761,0.5759,3357.0,-8649589.0,87038.8,2.185,0.0017391304347826875,0.004534356470177858,0.003834088532589819,-0.001906082134812026,1.74260105350171,0.5571428571428508,0.0015259279171537434,0.004426474245356685,0.005340947417541209,-0.0008065909473633504,2,-0.011946591707659727,-0.011946591707659727,1764648907.118391
0.5748,0.5748,0.5748,29.0,-8625798.0,86988.7,0.488,0.0,0.00966098717723507,0.001219299773558502,0.001219299773558502,1.4291371527957424,0.47142857142856665,0.0012485522160391499,3.853266546923087e-05,0.00794409470806956,0.0017168924691655096,1,-0.002083333333333297,-0.002083333333333297,1764649806.917363
0.5736,0.5736,0.5734,1519.0,-8438829.0,86928.0,3.295,-0.0020880459370106186,-0.0022616562282532504,-0.0024352061228039013,-0.003128802363984051,0.5624493668224821,0.37857142857142617,0.0006484808916495801,0.0020549760894264988,-9.202171712519025e-05,-0.00216963451112806,2,0.0022616562282532495,0.0022616562282532495,1764651615.414811
0.5792,0.5793,0.5768,1060517.0,-8630015.0,87266.1,412.265,-0.002248745891714199,-0.0008661008141348514,0.009450472523626186,0.0040034812880764825,1.2358811586052922,0.6543209876543178,0.0033860325850731455,1.0604891091364297,-0.0013800727112934785,0.0005139718971586271,1,0.0057541412380121525,0.0057541412380121525,1764678890.518525
0.5891,0.5911,0.5878,1273139.0,-8744189.0,88555.2,4346.326,0.01146671230532248,0.01861427094105461,0.02231447846393353,0.039212238438544045,0.46483636767245756,0.9709543568464717,0.007710444105381887,1.026186293574353,0.01642599464442096,0.002188276296633651,1,0.024618585298196934,0.024618585298196934,1764685568.703379
0.592,0.592,0.5917,15024.0,-8644728.0,88526.0,186.311,0.007663487738419628,0.014574759945130245,0.017890934113194534,0.04026019690576654,0.728339660543319,0.8850574712643677,0.008452042656781865,0.011776880323685485,0.014299136093860909,0.0002756238512693354,2,-0.001184433164128653,-0.001184433164128653,1764685808.548419
0.6304,0.6347,0.6301,326602.0,-8600965.0,90749.2,153.393,0.05930504510524548,0.07638771006620271,0.09516407599309162,0.11284661284661279,1.5217387729789935,0.9877300613496929,0.02315349429962461,0.14456207906262378,0.027764030093649028,0.04862367997255368,1,0.07165793476423862,0.07165793476423862,1764688511.934058
0.6304,0.6469,0.6301,5566531.0,-8158918.0,90500.0,3048.455,0.07834948212495818,0.09573926328297411,0.1148531951640761,0.13285363285363294,1.3082017417317688,0.9818652849740924,0.025208144435265145,2.2078480758313557,0.02494175952487998,0.07079750375809413,2,-0.017978236871155916,-0.017978236871155916,1764688815.35102
0.6304,0.6469,0.6301,9729767.0,-8207588.0,90506.7,5441.599,0.07851653859004326,0.09590901374978777,0.1150259067357513,0.1330291330291331,1.3079133936718852,0.983160621761657,0.0252261359398395,3.564788803554586,0.02501763919105482,0.07089137455873296,2,-0.00015491866769944072,-0.00015491866769944072,1764689093.405982
0.6318,0.6405,0.6318,1247470.0,-8787957.0,90328.8,761.084,0.053974000329109595,0.08210846426761265,0.10392967942088926,0.11897274633123689,1.452093946742376,0.9144385026737958,0.02685865911921032,0.4179224883385096,0.019171924503777582,0.06293653976383506,2,0.007899628252788095,0.007899628252788095,1764689510.528221
0.6318,0.651,0.6318,9778501.0,-8916630.0,90507.2,5151.924,0.07059404311337825,0.0991721574590303,0.12133746983798677,0.13661774982529695,1.378367683690665,0.9949302915082374,0.028660980398931515,2.8663489915331692,0.021184796050077948,0.07798736140895235,2,-0.01576893052302888,-0.01576893052302888,1764690141.745638
0.6586,0.6626,0.6584,247216.0,-9289457.0,90885.1,203.588,0.048116492560936974,0.08968240908342939,0.13332192366934792,0.1514519214049732,1.5315762282876486,0.995480225988701,0.03742773685340938,0.0639124799021251,0.018604630311425785,0.07107777877200361,2,-0.01782969566553959,-0.01782969566553959,1764691215.423713
0.6586,0.664,0.6539,5222774.0,-9944751.0,91055.3,4255.488,0.04305159860715424,0.08441665295376,0.12784528495635805,0.14588767170926809,1.6159915135784235,0.9443826473859843,0.03687180014301686,1.2686435732048307,0.020512165298778084,0.06390448765498191,2,0.004832376925400152,0.004832376925400152,1764691720.348135
