open,high,low,close,volume,RSI_14,ADX_14,ATRr_14,EMA_9,EMA_21,EMA_200,DIST_EMA21,target
106794.53,106828.75,106147.55,106231.89,712.61513,26.141878472561782,38.25359106664459,395.78351939640856,107369.96545957567,107792.32912547703,106197.80795,-1.4476346676400151,1
106231.9,106926.62,106115.35,106801.3,400.3733,36.90095879280504,38.746868869234994,425.4611251538072,107256.23236766056,107702.23556861548,106203.81284601991,-0.836505912675788,1
106801.29,106993.78,106655.98,106739.99,168.95605,36.28800061769864,38.94626002000684,419.1996162142498,107152.98389412845,107614.75869874134,106209.1479420794,-0.8128705665643646,1
106740.0,107262.31,106740.0,107238.63,196.975,44.38014339986799,38.15078675969519,426.56535791323137,107170.11311530278,107580.56518067395,106219.39154464578,-0.31784103392623686,0
107238.68,107310.74,106930.23,107123.36,126.89379,43.01987287290624,37.24332545608169,423.2756894908584,107160.76249224224,107539.00107333995,106228.38625564433,-0.38650263550104264,0
107123.36,107215.96,106989.01,107030.54,61.66014,41.90603217187123,36.40068281701202,409.25242595579795,107134.7179937938,107492.77733939995,106236.36788494141,-0.43001711448991664,0
107030.54,107399.0,106971.49,107072.0,119.70316,42.62066325441999,34.94642728675923,410.5565383875263,107122.17439503505,107454.52485399994,106244.68263235493,-0.3559876650328936,0
107071.99,107361.21,107007.29,107173.51,129.33295,44.423298438198,33.5960471515245,406.5110713598468,107132.44151602805,107428.97804909086,106253.9246957146,-0.23780180518344504,0
107173.51,107220.0,106991.86,107049.04,70.55319,42.65379839908736,32.38576099436514,393.7702805484292,107115.76121282244,107394.43822644623,106261.83629078211,-0.3216164935077465,0
107049.04,107049.04,106697.67,106701.79,102.95955,38.09481611552666,32.03579361045099,390.7416890806839,107032.96697025796,107331.47020586021,106266.21393963006,-0.586668760478638,1
106701.79,106961.47,106572.07,106940.22,120.57885,42.629065902921454,32.00292304217361,390.64585414634894,107014.41757620638,107295.90200532746,106272.92046759395,-0.33149635603957783,0
106940.22,107600.0,106711.84,107482.39,257.86224,51.35438620215741,29.755209536051385,426.1825788501814,107108.01206096512,107312.8554593886,106284.95499030445,0.15798157628520573,0
107482.4,107771.34,107364.89,107574.78,189.67209,52.67523199919983,28.049943720261282,424.7731089323111,107201.3656487721,107336.66678126235,106297.78907000291,0.22183772412356753,0
107574.44,107603.36,107402.74,107405.38,134.10498,49.99479065845748,26.466482605599044,408.7621725800028,107242.1685190177,107342.91343751123,106308.80987527652,0.05819346660935894,0
107405.38,107644.92,107405.38,107488.37,101.7281,51.30218431660174,25.11469752121732,396.6748745385736,107291.40881521416,107356.13676137384,106320.54679194043,0.12317250100017745,0
107488.38,107735.21,107458.21,107590.41,131.98394,52.93166540705819,24.121190521908517,388.1266692143898,107351.20905217133,107377.43432852167,106333.182246747,0.19834304368525793,0
107590.41,107711.06,107534.88,107652.91,96.64979,53.948105060401254,23.19864830826463,372.98762141336147,107411.54924173706,107402.47757138335,106346.31386618236,0.23317192887864815,0
107652.92,107674.42,107476.52,107489.88,57.46898,50.86261838250123,22.11283546917195,360.48136274097806,107427.21539338966,107410.42324671213,106357.69263368304,0.07397490009453438,0
107489.88,107512.78,107303.01,107348.81,94.79031,48.28898107307028,20.614432831158577,349.71626540233706,107411.53431471174,107404.82204246557,106367.5544980245,-0.05215039827860812,0
107348.82,107437.91,107320.22,107333.64,75.36197,48.00766482949131,19.223058953003303,333.1429607307418,107395.9554517694,107398.35094769597,106377.16728908893,-0.06025320419257543,0
107333.64,107403.99,107224.08,107272.88,109.46822,46.830882924895334,18.295031773654067,322.1977492499748,107371.34036141552,107386.94449790542,106386.0798533766,-0.10621821715734205,0
107272.88,107309.47,107040.0,107229.14,170.91473,45.957533952625155,18.076720697912247,318.43148144640526,107342.90028913243,107372.59863445947,106394.46851155197,-0.13360823551254827,0
107229.15,107300.0,107172.82,107185.83,64.02666,45.0614378236915,17.8740032704377,304.7706613430901,107311.48623130596,107355.61966769042,106402.34275521812,-0.1581562923450013,0
107185.83,107185.83,107044.12,107122.02,122.98114,43.709191220180294,18.12328989809822,293.1234712471556,107273.59298504479,107334.38333426401,106409.50372282791,-0.19785210262275532,0
107122.01,107234.94,107048.75,107208.03,80.86589,46.058907774476715,18.10475821395862,285.4853661580732,107260.48038803584,107322.89666751273,106417.44925792416,-0.10702904140631746,0
107208.03,107208.03,106940.91,107007.62,79.40735,41.69189240821119,18.46213225729532,284.17355428963907,107209.90831042868,107294.2351522843,106423.32160361647,-0.2671300577123292,0
107007.62,107012.71,106900.0,106930.41,108.509,40.11390031155713,18.9335987753057,271.9261575546653,107154.00864834295,107261.16013844026,106428.36725930187,-0.3083596504208632,0
106930.41,106930.42,106724.0,106832.91,118.43216,38.15024054214468,19.93538372867325,267.2471463007605,107089.78891867437,107222.22830767297,106432.39256020435,-0.363094774113272,0
106832.92,106879.48,106700.0,106718.33,86.27542,35.924613730746394,20.93858096429325,260.9780644221345,107015.4971349395,107176.41937061178,106435.23770885903,-0.4274161922014989,0
106718.34,106751.94,106491.17,106491.17,134.57131,31.945613027446473,22.459327506705577,260.9632026776966,106910.6317079516,107114.12397328344,106435.7942490694,-0.5815796742536179,0
106491.17,106696.45,106481.6,106656.0,176.62594,37.366584086047595,23.896738571555392,257.6694024864319,106859.70536636129,107072.47633934858,106437.98535106871,-0.3889667574593345,0
106655.99,106789.06,106630.23,106758.52,120.60537,40.539139209212834,24.62006042574305,250.60944516597263,106839.46829308904,107043.93485395325,106441.17475056057,-0.2666333728694264,0
