data,par,preco,adx,sinal,confianca
22:43:18,1764294198.96395,TRADOORUSDT,1.984,22.5,NEUTRO,47.2
22:43:20,1764294200.452438,YALAUSDT,0.04499,18.3,NEUTRO,47.2
22:43:21,1764294201.914369,MUSDT,1.2258,10.4,NEUTRO,47.3
22:43:23,1764294203.382134,CLOUSDT,0.3277,13.8,NEUTRO,47.6
22:43:24,1764294204.860694,SQDUSDT,0.08352,32.7,NEUTRO,42.2
22:43:26,1764294206.326133,TRADOORUSDT,1.984,22.5,NEUTRO,47.1
22:43:27,1764294207.788866,YALAUSDT,0.04514,18.3,NEUTRO,46.3
22:43:29,1764294209.257398,MUSDT,1.2253,10.4,NEUTRO,47.2
22:43:30,1764294210.72936,CLOUSDT,0.3279,13.8,NEUTRO,47.6
22:43:32,1764294212.190478,SQDUSDT,0.08362,32.7,NEUTRO,42.4
22:43:33,1764294213.68524,TRADOORUSDT,1.982,22.5,NEUTRO,49.7
22:43:35,1764294215.157161,YALAUSDT,0.0452,18.3,NEUTRO,46.3
22:43:36,1764294216.629738,MUSDT,1.2218,10.4,NEUTRO,47.0
22:43:38,1764294218.068396,CLOUSDT,0.3282,13.8,NEUTRO,47.0
22:43:39,1764294219.558448,SQDUSDT,0.08341,32.7,NEUTRO,41.7
22:43:40,1764294220.995978,TRADOORUSDT,1.98,22.5,NEUTRO,49.5
22:43:42,1764294222.449291,YALAUSDT,0.04511,18.3,NEUTRO,46.1
22:43:43,1764294223.907765,MUSDT,1.2244,10.4,NEUTRO,47.3
22:43:45,1764294225.362667,CLOUSDT,0.3278,13.8,NEUTRO,47.4
22:43:46,1764294226.829395,SQDUSDT,0.08334,32.7,NEUTRO,41.9
22:43:48,1764294228.268199,TRADOORUSDT,1.976,22.5,NEUTRO,49.7
22:43:49,1764294229.719095,YALAUSDT,0.04486,18.3,NEUTRO,51.7
22:43:51,1764294231.166069,MUSDT,1.2241,10.4,NEUTRO,47.5
22:43:52,1764294232.631607,CLOUSDT,0.3279,13.8,NEUTRO,47.6
22:43:54,1764294234.075818,SQDUSDT,0.08316,32.7,NEUTRO,42.0
22:43:55,1764294235.536372,TRADOORUSDT,1.976,22.5,NEUTRO,49.8
22:43:56,1764294236.987474,YALAUSDT,0.04476,18.3,NEUTRO,53.3
22:43:58,1764294238.434789,MUSDT,1.2235,10.4,NEUTRO,47.9
22:43:59,1764294239.877956,CLOUSDT,0.3281,13.8,NEUTRO,47.0
22:44:01,1764294241.312342,SQDUSDT,0.08298,32.7,NEUTRO,41.6
22:44:02,1764294242.794018,TRADOORUSDT,1.976,22.5,NEUTRO,49.9
22:44:04,1764294244.234433,YALAUSDT,0.0446,18.3,NEUTRO,50.6
22:44:05,1764294245.69969,MUSDT,1.2249,10.4,NEUTRO,47.6
22:44:07,1764294247.1672,CLOUSDT,0.3285,13.8,NEUTRO,47.3
22:44:08,1764294248.635128,SQDUSDT,0.08289,32.7,NEUTRO,42.3
22:44:10,1764294250.070236,TRADOORUSDT,1.981,22.5,NEUTRO,49.8
22:44:11,1764294251.543326,YALAUSDT,0.04463,18.3,NEUTRO,51.2
22:44:12,1764294252.994627,MUSDT,1.221,10.4,NEUTRO,46.9
22:44:14,1764294254.446739,CLOUSDT,0.3287,13.8,NEUTRO,46.7
22:44:15,1764294255.905036,SQDUSDT,0.0832,32.7,NEUTRO,42.1
22:44:17,1764294257.375473,TRADOORUSDT,1.982,22.5,NEUTRO,49.9
22:44:18,1764294258.83096,YALAUSDT,0.04466,18.3,NEUTRO,52.2
22:44:20,1764294260.292869,MUSDT,1.2213,10.4,NEUTRO,47.1
22:44:21,1764294261.747486,CLOUSDT,0.3289,13.8,NEUTRO,46.7
22:44:23,1764294263.205959,SQDUSDT,0.08312,32.7,NEUTRO,42.0
22:44:24,1764294264.641439,TRADOORUSDT,1.982,22.5,NEUTRO,49.8
22:44:26,1764294266.081715,YALAUSDT,0.04463,18.3,NEUTRO,51.7
22:44:27,1764294267.530261,MUSDT,1.2232,10.4,NEUTRO,48.3
22:44:28,1764294268.994271,CLOUSDT,0.33,13.8,NEUTRO,45.7
22:44:30,1764294270.436823,SQDUSDT,0.083,32.7,NEUTRO,41.7
22:44:31,1764294271.888331,TRADOORUSDT,1.982,22.5,NEUTRO,49.8
22:44:33,1764294273.332543,YALAUSDT,0.04449,18.2,NEUTRO,51.1
22:44:34,1764294274.845714,MUSDT,1.2217,10.4,NEUTRO,46.9
22:44:36,1764294276.327616,CLOUSDT,0.3301,13.8,NEUTRO,46.1
22:44:37,1764294277.773152,SQDUSDT,0.08323,32.7,NEUTRO,42.6
22:44:39,1764294279.248347,TRADOORUSDT,1.988,22.5,NEUTRO,47.0
22:44:40,1764294280.726239,YALAUSDT,0.04451,18.2,NEUTRO,51.7
22:44:42,1764294282.170075,MUSDT,1.2209,10.4,NEUTRO,46.9
22:44:43,1764294283.623541,CLOUSDT,0.3301,13.8,NEUTRO,45.9
