open,high,low,close,volume,RSI_14,ADX_14,ATRr_14,EMA_9,EMA_21,EMA_200,target
88715.3,88834.62,88510.17,88683.47,402.18175,70.64845743934488,36.947074189926596,443.4641953255143,88200.57442393943,87563.62495040646,86418.38140000001,0
88683.47,88770.53,88500.0,88635.7,157.59124,69.59177555194015,38.588280404376384,431.11175280226325,88287.59953915155,87661.08631855133,86440.44427164181,0
88635.7,88803.37,88354.62,88436.67,338.15496,65.21516255510782,39.438948953144624,432.3716276021016,88317.41363132124,87731.59392595576,86460.30721421255,1
88436.66,88470.69,88115.16,88327.29,318.61759,62.874915526234105,39.21130421324936,426.88293991623715,88319.38890505699,87785.74811450523,86478.88415735471,1
88327.29,88779.9,88327.29,88649.2,356.64409,66.66614361854336,39.52957581178343,428.7205870650774,88385.35112404558,87864.24374045931,86500.4793398686,1
88649.2,88886.79,88601.8,88884.61,253.76417,69.14744078916144,39.992125243584034,418.45411656042836,88485.20289923648,87957.00430950847,86524.20203300424,0
88884.61,88970.64,88754.32,88939.66,266.91571,69.7151625828845,40.552288366087616,404.0159653775401,88576.09431938919,88046.33664500769,86548.23644063604,0
88939.66,89228.0,88939.65,89089.06,472.14349,71.26076413778091,41.44765451222154,395.7541107077162,88678.68745551136,88141.1296772797,86573.51826709739,0
89089.06,89132.0,88900.0,89047.14,217.50669,70.17850374775419,42.099375073834075,384.05738851430795,88752.3779644091,88223.49425207246,86598.13141866856,0
89047.15,89060.0,88862.8,88917.31,105.45589,66.7950218922335,42.52888823635778,370.7104321918572,88785.36437152728,88286.56841097496,86621.20782246291,0
88917.31,89094.0,88775.52,88775.53,139.62845,63.21095038652714,42.5084405175198,366.9796870352957,88783.39749722183,88331.01946452269,86642.64386403044,0
88775.53,88880.55,88720.97,88766.15,139.13542,62.97021480033118,42.22547088204302,352.1654236756318,88779.94799777746,88370.5767859297,86663.7732783187,0
88766.15,89091.96,88758.03,89035.49,130.385,66.87169888237233,42.39214368985289,350.86289341308725,88831.05639822198,88431.02344175427,86687.37244967872,0
89035.5,89039.51,88726.0,88784.35,158.51526,60.47369007122707,42.384680977810184,348.1948295978664,88821.71511857759,88463.14403795842,86708.23789794062,0
88784.35,88935.75,88784.34,88844.39,95.85934,61.42392286768092,42.37775131662768,334.13877034087614,88826.25009486207,88497.80276178037,86729.49314273724,0
88844.38,88844.39,88598.0,88636.54,138.22162,56.37152485856514,41.39719050858709,327.8710010308135,88788.30807588967,88510.41523798216,86748.46873335677,0
88636.54,88690.0,88500.03,88522.0,135.22694,53.74783316898571,40.013651542861616,318.0209295286126,88735.04646071175,88511.4683981656,86766.1158106368,0
88522.01,88617.56,88500.0,88617.55,111.39722,55.60415609653714,38.72878883313772,303.7022917051401,88711.5471685694,88521.11218015055,86784.53804137673,0
88617.55,88617.55,88321.0,88428.56,115.68825,51.22494609172637,36.678504431823974,303.19141372620174,88654.94973485553,88512.69834559142,86800.89646882571,0
88428.56,88428.57,88252.5,88300.01,108.20839,48.43092778954607,34.468551403158216,294.1113127457593,88583.96178788441,88493.36304144673,86815.8130213747,0
88300.01,88300.01,88000.0,88032.92,233.30705,43.16311052378847,32.6080296954162,294.5326475496333,88473.75343030754,88451.50458313338,86827.92353857496,0
88032.91,88081.63,87869.37,87887.28,188.53803,40.571685274630724,31.33457543723642,288.65602986751725,88356.45874424603,88400.21143921217,86838.46439888766,0
87887.28,88279.5,87864.63,88187.03,214.72367,47.551192693539754,29.317984878636985,297.67131344840857,88322.57299539683,88380.8313083747,86851.88296208282,0
88187.03,88253.52,87975.5,88100.0,148.07411,45.86687135405915,27.445436502794653,296.267648202094,88278.05839631746,88355.30118943156,86864.30203708698,0
88100.0,88193.94,87900.43,88134.92,143.94301,46.68292699446683,26.0031947235355,296.0706733305165,88249.43071705397,88335.26653584687,86876.94500189208,0
88134.92,88223.85,87931.19,88048.61,176.06629,44.88198285127885,24.525669092957788,295.82705380690845,88209.26657364317,88309.20685076989,86888.60336008221,0
88048.61,88098.17,87924.0,87977.17,111.80467,43.38989040811047,23.185140550248963,287.137264249272,88162.84725891452,88279.02168251807,86899.43486893713,0
87977.16,87977.98,87719.67,87732.83,158.55816,38.65638633245139,22.779265411988973,285.07817394575244,88076.84380713163,88229.36789319824,86907.72735780342,0
87732.84,87941.88,87604.85,87803.9,183.2095,40.68335578943839,22.815618953133292,288.78901866391294,88022.25504570531,88190.68899381658,86916.6444985218,1
87803.76,87893.57,87608.01,87627.96,122.55604,37.38959841609729,22.849375812767303,288.55837447363433,87943.39603656426,88139.53181256053,86923.72226470566,1
87627.96,87703.99,87457.53,87657.69,209.56697,38.298641706472715,23.408518235328458,285.55134772551804,87886.25482925141,88095.72801141866,86931.02542625088,1
87657.69,87942.26,87657.68,87909.4,145.91407,45.51187800865981,22.61087988352945,285.481965745124,87890.88386340113,88078.78910128969,86940.76049663645,1
87909.41,88048.78,87785.53,87810.66,159.68458,43.36996493046616,21.360304931153898,283.8939681919009,87874.83909072091,88054.41372844517,86949.41621308782,1
87810.66,87968.53,87751.57,87940.19,101.07322,46.90041549591711,20.34391170419702,279.1129704639074,87887.90927257673,88044.02975313197,86959.27465872875,1
87940.19,87940.19,87591.59,87673.41,99.89382,41.20297883928409,20.048949496237487,284.0763297164859,87845.00941806138,88010.33704830178,86966.38048302001,1
87673.4,87828.0,87553.84,87822.12,109.4853,45.19930109266808,19.920201212878492,283.36802045102286,87840.4315344491,87993.22640754706,86974.8953040845,1
